TCA,RundleQPct,Rundle,Matches,W,L,T
6,0.736,"A Alpine",80,68,0,12
5,0.736,"A Alpine",240,118,78,44
4,0.736,"A Alpine",203,63,97,43
3,0.736,"A Alpine",76,12,59,5
2,0.736,"A Alpine",29,0,25,4
1,0.736,"A Alpine",2,0,2,0
6,0.737,"A Arcadia",110,74,0,36
5,0.737,"A Arcadia",228,121,59,48
4,0.737,"A Arcadia",213,59,124,30
3,0.737,"A Arcadia",73,11,57,5
2,0.737,"A Arcadia",16,2,13,1
1,0.737,"A Arcadia",3,0,3,0
0,0.737,"A Arcadia",13,0,11,2
6,0.682,"A Atlantic",60,58,0,2
5,0.682,"A Atlantic",198,129,42,27
4,0.682,"A Atlantic",209,80,96,33
3,0.682,"A Atlantic",141,21,108,12
2,0.682,"A Atlantic",47,3,38,6
1,0.682,"A Atlantic",6,0,6,0
0,0.682,"A Atlantic",1,0,1,0
6,0.805,"A Badlands",165,119,0,46
5,0.805,"A Badlands",294,121,107,66
4,0.805,"A Badlands",175,27,119,29
3,0.805,"A Badlands",44,4,39,1
2,0.805,"A Badlands",6,0,6,0
6,0.794,"A Bayou",173,101,0,72
5,0.794,"A Bayou",233,96,96,41
4,0.794,"A Bayou",141,36,78,27
3,0.794,"A Bayou",54,6,44,4
2,0.794,"A Bayou",19,1,18,0
1,0.794,"A Bayou",4,0,4,0
6,0.786,"A Cascade",168,120,0,48
5,0.786,"A Cascade",268,132,105,31
4,0.786,"A Cascade",161,36,107,18
3,0.786,"A Cascade",69,4,61,4
2,0.786,"A Cascade",17,0,16,1
1,0.786,"A Cascade",2,0,2,0
0,0.786,"A Cascade",1,0,1,0
6,0.792,"A Central",157,105,0,52
5,0.792,"A Central",225,99,87,39
4,0.792,"A Central",148,36,97,15
3,0.792,"A Central",45,2,39,4
2,0.792,"A Central",16,1,15,0
1,0.792,"A Central",4,0,4,0
0,0.792,"A Central",1,0,1,0
6,0.734,"A Coastal",101,82,0,19
5,0.734,"A Coastal",239,128,65,46
4,0.734,"A Coastal",223,61,129,33
3,0.734,"A Coastal",88,13,63,12
2,0.734,"A Coastal",27,1,23,3
1,0.734,"A Coastal",6,0,5,1
6,0.807,"A Continental",192,129,0,63
5,0.807,"A Continental",268,101,111,56
4,0.807,"A Continental",159,31,102,26
3,0.807,"A Continental",53,6,45,2
2,0.807,"A Continental",10,0,7,3
1,0.807,"A Continental",2,0,2,0
6,0.741,"A Corridor",118,88,0,30
5,0.741,"A Corridor",201,95,65,41
4,0.741,"A Corridor",187,57,97,33
3,0.741,"A Corridor",104,11,74,19
2,0.741,"A Corridor",22,3,16,3
1,0.741,"A Corridor",1,0,1,0
0,0.741,"A Corridor",1,0,1,0
6,0.765,"A Fjord",131,97,0,34
5,0.765,"A Fjord",242,115,77,50
4,0.765,"A Fjord",179,42,107,30
3,0.765,"A Fjord",76,9,59,8
2,0.765,"A Fjord",15,0,15,0
1,0.765,"A Fjord",5,0,5,0
6,0.774,"A Frontier",141,114,0,27
5,0.774,"A Frontier",227,97,79,51
4,0.774,"A Frontier",180,43,114,23
3,0.774,"A Frontier",57,6,47,4
2,0.774,"A Frontier",16,0,15,1
1,0.774,"A Frontier",5,0,5,0
6,0.741,"A Highland",127,101,0,26
5,0.741,"A Highland",220,115,70,35
4,0.741,"A Highland",207,61,115,31
3,0.741,"A Highland",89,6,69,14
2,0.741,"A Highland",32,2,28,2
1,0.741,"A Highland",4,1,3,0
0,0.741,"A Highland",1,0,1,0
6,0.792,"A Horizon",160,111,0,49
5,0.792,"A Horizon",220,102,79,39
4,0.792,"A Horizon",157,36,111,10
3,0.792,"A Horizon",50,1,45,4
2,0.792,"A Horizon",15,1,14,0
1,0.792,"A Horizon",2,0,2,0
6,0.786,"A Laguna",153,108,0,45
5,0.786,"A Laguna",236,93,94,49
4,0.786,"A Laguna",165,42,97,26
3,0.786,"A Laguna",50,5,39,6
2,0.786,"A Laguna",17,0,15,2
1,0.786,"A Laguna",2,0,2,0
0,0.786,"A Laguna",1,0,1,0
6,0.744,"A Magnolia",105,84,0,21
5,0.744,"A Magnolia",222,114,65,43
4,0.744,"A Magnolia",196,52,109,35
3,0.744,"A Magnolia",79,9,60,10
2,0.744,"A Magnolia",25,1,23,1
1,0.744,"A Magnolia",3,0,3,0
6,0.764,"A Maritime",131,116,0,15
5,0.764,"A Maritime",248,117,100,31
4,0.764,"A Maritime",200,56,116,28
3,0.764,"A Maritime",68,3,56,9
2,0.764,"A Maritime",14,0,13,1
1,0.764,"A Maritime",4,0,4,0
0,0.764,"A Maritime",3,0,3,0
6,0.733,"A Memorial",93,70,0,23
5,0.733,"A Memorial",231,136,61,34
4,0.733,"A Memorial",194,55,118,21
3,0.733,"A Memorial",103,15,78,10
2,0.733,"A Memorial",25,3,20,2
1,0.733,"A Memorial",2,0,2,0
6,0.707,"A Meridian",80,65,0,15
5,0.707,"A Meridian",229,135,55,39
4,0.707,"A Meridian",258,82,125,51
3,0.707,"A Meridian",120,15,81,24
2,0.707,"A Meridian",36,3,32,1
1,0.707,"A Meridian",7,0,7,0
6,0.708,"A Metro",94,71,0,23
5,0.708,"A Metro",190,109,49,32
4,0.708,"A Metro",194,64,93,37
3,0.708,"A Metro",108,20,78,10
2,0.708,"A Metro",35,2,33,0
1,0.708,"A Metro",12,0,12,0
0,0.708,"A Metro",1,0,1,0
6,0.774,"A Midland",134,98,0,36
5,0.774,"A Midland",280,132,95,53
4,0.774,"A Midland",177,45,111,21
3,0.774,"A Midland",61,5,51,5
2,0.774,"A Midland",20,0,19,1
1,0.774,"A Midland",2,0,2,0
0,0.774,"A Midland",2,0,2,0
6,0.707,"A Morningstar",105,80,0,25
5,0.707,"A Morningstar",182,102,45,35
4,0.707,"A Morningstar",183,71,91,21
3,0.707,"A Morningstar",110,13,87,10
2,0.707,"A Morningstar",46,5,38,3
1,0.707,"A Morningstar",6,0,6,0
0,0.707,"A Morningstar",4,0,4,0
6,0.719,"A Pacific",105,90,0,15
5,0.719,"A Pacific",216,126,55,35
4,0.719,"A Pacific",204,60,115,29
3,0.719,"A Pacific",115,21,86,8
2,0.719,"A Pacific",45,3,41,1
1,0.719,"A Pacific",2,0,2,0
0,0.719,"A Pacific",1,0,1,0
6,0.776,"A Piedmont",142,99,0,43
5,0.776,"A Piedmont",234,106,86,42
4,0.776,"A Piedmont",128,29,83,16
3,0.776,"A Piedmont",59,7,46,6
2,0.776,"A Piedmont",22,1,19,2
1,0.776,"A Piedmont",9,0,8,1
6,0.717,"A Plaza",91,72,0,19
5,0.717,"A Plaza",202,122,66,14
4,0.717,"A Plaza",194,56,108,30
3,0.717,"A Plaza",95,21,61,13
2,0.717,"A Plaza",39,3,31,5
1,0.717,"A Plaza",7,0,6,1
0,0.717,"A Plaza",2,0,2,0
6,0.676,"A Seaboard",52,51,0,1
5,0.676,"A Seaboard",184,115,45,24
4,0.676,"A Seaboard",222,91,94,37
3,0.676,"A Seaboard",123,22,90,11
2,0.676,"A Seaboard",47,2,40,5
1,0.676,"A Seaboard",12,0,12,0
6,0.762,"A Sequoia",135,98,0,37
5,0.762,"A Sequoia",253,128,81,44
4,0.762,"A Sequoia",186,43,116,27
3,0.762,"A Sequoia",85,13,64,8
2,0.762,"A Sequoia",16,0,16,0
1,0.762,"A Sequoia",4,0,4,0
0,0.762,"A Sequoia",1,0,1,0
6,0.703,"A Sierra",74,63,0,11
5,0.703,"A Sierra",200,113,60,27
4,0.703,"A Sierra",200,72,99,29
3,0.703,"A Sierra",116,25,78,13
2,0.703,"A Sierra",35,2,31,2
1,0.703,"A Sierra",5,0,5,0
0,0.703,"A Sierra",2,0,2,0
6,0.736,"A Skyline",90,68,0,22
5,0.736,"A Skyline",223,114,62,47
4,0.736,"A Skyline",184,61,103,20
3,0.736,"A Skyline",71,12,57,2
2,0.736,"A Skyline",34,3,30,1
1,0.736,"A Skyline",5,0,5,0
0,0.736,"A Skyline",1,0,1,0
6,0.748,"A Sugarloaf",125,89,0,36
5,0.748,"A Sugarloaf",221,104,76,41
4,0.748,"A Sugarloaf",139,34,87,18
3,0.748,"A Sugarloaf",71,15,49,7
2,0.748,"A Sugarloaf",18,3,13,2
1,0.748,"A Sugarloaf",2,0,2,0
0,0.748,"A Sugarloaf",18,0,18,0
6,0.756,"A Tundra",133,103,0,30
5,0.756,"A Tundra",243,126,83,34
4,0.756,"A Tundra",183,42,109,32
3,0.756,"A Tundra",85,11,63,11
2,0.756,"A Tundra",25,1,23,1
1,0.756,"A Tundra",4,0,4,0
0,0.756,"A Tundra",1,0,1,0
6,0.618,"B Alpine",25,22,0,3
5,0.618,"B Alpine",131,95,15,21
4,0.618,"B Alpine",215,85,82,48
3,0.618,"B Alpine",147,36,89,22
2,0.618,"B Alpine",68,15,43,10
1,0.618,"B Alpine",20,0,20,0
0,0.618,"B Alpine",4,0,4,0
6,0.648,"B Arcadia",37,32,0,5
5,0.648,"B Arcadia",161,108,28,25
4,0.648,"B Arcadia",230,105,96,29
3,0.648,"B Arcadia",129,27,89,13
2,0.648,"B Arcadia",55,4,46,5
1,0.648,"B Arcadia",18,1,16,1
0,0.648,"B Arcadia",2,0,2,0
6,0.638,"B Atlantic",52,47,0,5
5,0.638,"B Atlantic",149,96,28,25
4,0.638,"B Atlantic",178,76,71,31
3,0.638,"B Atlantic",141,36,87,18
2,0.638,"B Atlantic",77,10,60,7
1,0.638,"B Atlantic",18,0,16,2
0,0.638,"B Atlantic",3,0,3,0
6,0.678,"B Badlands",59,51,0,8
5,0.678,"B Badlands",178,108,38,32
4,0.678,"B Badlands",203,74,94,35
3,0.678,"B Badlands",134,30,87,17
2,0.678,"B Badlands",50,4,40,6
1,0.678,"B Badlands",6,0,6,0
0,0.678,"B Badlands",2,0,2,0
6,0.673,"B Bayou",61,56,0,5
5,0.673,"B Bayou",180,112,38,30
4,0.673,"B Bayou",212,79,102,31
3,0.673,"B Bayou",146,30,98,18
2,0.673,"B Bayou",49,8,37,4
1,0.673,"B Bayou",10,1,9,0
0,0.673,"B Bayou",2,0,2,0
6,0.634,"B Cascade",41,36,0,5
5,0.634,"B Cascade",143,102,23,18
4,0.634,"B Cascade",194,87,75,32
3,0.634,"B Cascade",139,34,90,15
2,0.634,"B Cascade",68,4,59,5
1,0.634,"B Cascade",18,2,15,1
0,0.634,"B Cascade",3,0,3,0
6,0.693,"B Central",60,48,0,12
5,0.693,"B Central",201,131,37,33
4,0.693,"B Central",191,64,96,31
3,0.693,"B Central",120,14,87,19
2,0.693,"B Central",44,6,37,1
1,0.693,"B Central",6,0,6,0
6,0.634,"B Coastal",30,28,0,2
5,0.634,"B Coastal",167,112,27,28
4,0.634,"B Coastal",191,79,83,29
3,0.634,"B Coastal",171,44,100,27
2,0.634,"B Coastal",64,5,50,9
1,0.634,"B Coastal",16,3,10,3
0,0.634,"B Coastal",1,0,1,0
6,0.664,"B Continental",50,41,0,9
5,0.664,"B Continental",166,116,33,17
4,0.664,"B Continental",208,84,91,33
3,0.664,"B Continental",129,27,90,12
2,0.664,"B Continental",65,7,55,3
1,0.664,"B Continental",5,0,5,0
0,0.664,"B Continental",1,0,1,0
6,0.569,"B Corridor",16,14,0,2
5,0.569,"B Corridor",100,75,14,11
4,0.569,"B Corridor",186,97,61,28
3,0.569,"B Corridor",181,57,82,42
2,0.569,"B Corridor",99,15,73,11
1,0.569,"B Corridor",29,2,24,3
0,0.569,"B Corridor",7,0,6,1
6,0.634,"B Fjord",40,40,0,0
5,0.634,"B Fjord",139,102,20,17
4,0.634,"B Fjord",213,91,86,36
3,0.634,"B Fjord",164,37,102,25
2,0.634,"B Fjord",73,7,58,8
1,0.634,"B Fjord",8,0,8,0
0,0.634,"B Fjord",3,0,3,0
6,0.651,"B Frontier",44,38,0,6
5,0.651,"B Frontier",150,98,39,13
4,0.651,"B Frontier",225,102,89,34
3,0.651,"B Frontier",137,26,89,22
2,0.651,"B Frontier",59,8,44,7
1,0.651,"B Frontier",13,1,12,0
6,0.574,"B Highland",22,22,0,0
5,0.574,"B Highland",106,80,9,17
4,0.574,"B Highland",184,92,58,34
3,0.574,"B Highland",178,58,97,23
2,0.574,"B Highland",100,14,71,15
1,0.574,"B Highland",26,1,22,3
0,0.574,"B Highland",10,0,10,0
6,0.631,"B Horizon",35,33,0,2
5,0.631,"B Horizon",158,110,27,21
4,0.631,"B Horizon",194,79,81,34
3,0.631,"B Horizon",166,37,100,29
2,0.631,"B Horizon",62,10,41,11
1,0.631,"B Horizon",21,2,18,1
0,0.631,"B Horizon",4,0,4,0
6,0.656,"B Laguna",46,37,0,9
5,0.656,"B Laguna",158,96,32,30
4,0.656,"B Laguna",215,89,93,33
3,0.656,"B Laguna",133,30,79,24
2,0.656,"B Laguna",61,7,42,12
1,0.656,"B Laguna",13,0,13,0
6,0.737,"B Magnolia",100,82,0,18
5,0.737,"B Magnolia",239,120,61,58
4,0.737,"B Magnolia",195,52,108,35
3,0.737,"B Magnolia",100,15,77,8
2,0.737,"B Magnolia",27,1,23,3
1,0.737,"B Magnolia",1,0,1,0
6,0.630,"B Maritime",38,34,0,4
5,0.630,"B Maritime",124,94,12,18
4,0.630,"B Maritime",209,78,95,36
3,0.630,"B Maritime",150,38,82,30
2,0.630,"B Maritime",66,9,51,6
1,0.630,"B Maritime",10,1,9,0
0,0.630,"B Maritime",5,0,5,0
6,0.565,"B Memorial",20,19,0,1
5,0.565,"B Memorial",85,62,11,12
4,0.565,"B Memorial",150,84,43,23
3,0.565,"B Memorial",158,55,87,16
2,0.565,"B Memorial",79,10,57,12
1,0.565,"B Memorial",16,1,11,4
0,0.565,"B Memorial",22,0,22,0
6,0.642,"B Meridian",41,36,0,5
5,0.642,"B Meridian",154,109,24,21
4,0.642,"B Meridian",177,74,75,28
3,0.642,"B Meridian",173,40,114,19
2,0.642,"B Meridian",54,8,41,5
1,0.642,"B Meridian",14,1,13,0
0,0.642,"B Meridian",1,0,1,0
6,0.557,"B Metro",19,17,0,2
5,0.557,"B Metro",85,67,6,12
4,0.557,"B Metro",195,100,55,40
3,0.557,"B Metro",177,53,100,24
2,0.557,"B Metro",102,22,67,13
1,0.557,"B Metro",40,6,29,5
0,0.557,"B Metro",8,0,8,0
6,0.620,"B Midland",29,27,0,2
5,0.620,"B Midland",130,99,21,10
4,0.620,"B Midland",217,101,74,42
3,0.620,"B Midland",161,41,102,18
2,0.620,"B Midland",82,8,69,5
1,0.620,"B Midland",12,0,9,3
0,0.620,"B Midland",1,0,1,0
6,0.644,"B Morningstar",47,43,0,4
5,0.644,"B Morningstar",150,92,26,32
4,0.644,"B Morningstar",206,81,85,40
3,0.644,"B Morningstar",127,28,80,19
2,0.644,"B Morningstar",63,12,46,5
1,0.644,"B Morningstar",21,2,19,0
0,0.644,"B Morningstar",2,0,2,0
6,0.660,"B Pacific",56,48,0,8
5,0.660,"B Pacific",181,126,37,18
4,0.660,"B Pacific",228,94,105,29
3,0.660,"B Pacific",153,32,90,31
2,0.660,"B Pacific",71,3,64,4
1,0.660,"B Pacific",5,0,5,0
0,0.660,"B Pacific",2,0,2,0
6,0.641,"B Piedmont",33,31,0,2
5,0.641,"B Piedmont",154,103,26,25
4,0.641,"B Piedmont",224,101,72,51
3,0.641,"B Piedmont",160,26,114,20
2,0.641,"B Piedmont",55,8,44,3
1,0.641,"B Piedmont",10,0,9,1
0,0.641,"B Piedmont",4,0,4,0
6,0.610,"B Plaza",22,22,0,0
5,0.610,"B Plaza",128,98,23,7
4,0.610,"B Plaza",204,105,73,26
3,0.610,"B Plaza",161,40,100,21
2,0.610,"B Plaza",82,8,64,10
1,0.610,"B Plaza",18,2,14,2
0,0.610,"B Plaza",1,0,1,0
6,0.562,"B Seaboard",18,18,0,0
5,0.562,"B Seaboard",102,74,21,7
4,0.562,"B Seaboard",174,101,52,21
3,0.562,"B Seaboard",187,60,96,31
2,0.562,"B Seaboard",99,19,70,10
1,0.562,"B Seaboard",37,5,31,1
0,0.562,"B Seaboard",7,0,7,0
6,0.612,"B Sequoia",45,42,0,3
5,0.612,"B Sequoia",115,86,18,11
4,0.612,"B Sequoia",183,85,66,32
3,0.612,"B Sequoia",170,43,104,23
2,0.612,"B Sequoia",80,7,57,16
1,0.612,"B Sequoia",21,1,17,3
0,0.612,"B Sequoia",2,0,2,0
6,0.614,"B Sierra",31,29,0,2
5,0.614,"B Sierra",128,98,14,16
4,0.614,"B Sierra",189,86,67,36
3,0.614,"B Sierra",151,34,94,23
2,0.614,"B Sierra",81,10,65,6
1,0.614,"B Sierra",14,0,11,3
0,0.614,"B Sierra",6,0,6,0
6,0.617,"B Skyline",26,21,0,5
5,0.617,"B Skyline",128,94,15,19
4,0.617,"B Skyline",210,93,87,30
3,0.617,"B Skyline",166,50,88,28
2,0.617,"B Skyline",60,1,55,4
1,0.617,"B Skyline",13,1,9,3
0,0.617,"B Skyline",7,0,6,1
6,0.617,"B Sugarloaf",32,30,0,2
5,0.617,"B Sugarloaf",128,89,17,22
4,0.617,"B Sugarloaf",221,97,82,42
3,0.617,"B Sugarloaf",163,46,96,21
2,0.617,"B Sugarloaf",69,10,52,7
1,0.617,"B Sugarloaf",23,0,23,0
0,0.617,"B Sugarloaf",2,0,2,0
6,0.625,"B Tundra",34,32,0,2
5,0.625,"B Tundra",113,78,13,22
4,0.625,"B Tundra",227,115,80,32
3,0.625,"B Tundra",174,34,116,24
2,0.625,"B Tundra",55,8,43,4
1,0.625,"B Tundra",17,1,16,0
6,0.529,"C Alpine Div 1",5,5,0,0
5,0.529,"C Alpine Div 1",61,48,5,8
4,0.529,"C Alpine Div 1",110,67,33,10
3,0.529,"C Alpine Div 1",144,55,75,14
2,0.529,"C Alpine Div 1",77,19,46,12
1,0.529,"C Alpine Div 1",36,2,30,4
0,0.529,"C Alpine Div 1",7,0,7,0
6,0.540,"C Alpine Div 2",8,8,0,0
5,0.540,"C Alpine Div 2",57,49,6,2
4,0.540,"C Alpine Div 2",123,74,33,16
3,0.540,"C Alpine Div 2",129,40,74,15
2,0.540,"C Alpine Div 2",71,19,46,6
1,0.540,"C Alpine Div 2",34,3,28,3
0,0.540,"C Alpine Div 2",6,0,6,0
6,0.565,"C Arcadia Div 1",25,25,0,0
5,0.565,"C Arcadia Div 1",71,56,10,5
4,0.565,"C Arcadia Div 1",164,92,48,24
3,0.565,"C Arcadia Div 1",150,44,76,30
2,0.565,"C Arcadia Div 1",93,15,71,7
1,0.565,"C Arcadia Div 1",35,4,30,1
0,0.565,"C Arcadia Div 1",2,0,1,1
6,0.573,"C Arcadia Div 2",20,17,0,3
5,0.573,"C Arcadia Div 2",87,73,6,8
4,0.573,"C Arcadia Div 2",180,93,65,22
3,0.573,"C Arcadia Div 2",170,55,96,19
2,0.573,"C Arcadia Div 2",89,18,61,10
1,0.573,"C Arcadia Div 2",30,2,26,2
0,0.573,"C Arcadia Div 2",4,0,4,0
6,0.455,"C Atlantic Div 1",1,1,0,0
5,0.455,"C Atlantic Div 1",28,24,1,3
4,0.455,"C Atlantic Div 1",91,66,14,11
3,0.455,"C Atlantic Div 1",109,49,45,15
2,0.455,"C Atlantic Div 1",115,35,64,16
1,0.455,"C Atlantic Div 1",53,5,44,4
0,0.455,"C Atlantic Div 1",15,0,12,3
6,0.504,"C Atlantic Div 2",5,3,0,2
5,0.504,"C Atlantic Div 2",39,35,3,1
4,0.504,"C Atlantic Div 2",91,50,20,21
3,0.504,"C Atlantic Div 2",144,54,64,26
2,0.504,"C Atlantic Div 2",79,22,44,13
1,0.504,"C Atlantic Div 2",34,1,24,9
0,0.504,"C Atlantic Div 2",10,0,10,0
6,0.539,"C Badlands Div 1",7,7,0,0
5,0.539,"C Badlands Div 1",77,65,4,8
4,0.539,"C Badlands Div 1",148,90,45,13
3,0.539,"C Badlands Div 1",160,58,81,21
2,0.539,"C Badlands Div 1",95,17,64,14
1,0.539,"C Badlands Div 1",39,2,35,2
0,0.539,"C Badlands Div 1",10,0,10,0
6,0.554,"C Badlands Div 2",6,6,0,0
5,0.554,"C Badlands Div 2",76,60,12,4
4,0.554,"C Badlands Div 2",163,90,43,30
3,0.554,"C Badlands Div 2",167,55,83,29
2,0.554,"C Badlands Div 2",86,15,60,11
1,0.554,"C Badlands Div 2",30,2,26,2
0,0.554,"C Badlands Div 2",4,0,4,0
6,0.552,"C Bayou Div 1",13,13,0,0
5,0.552,"C Bayou Div 1",81,64,7,10
4,0.552,"C Bayou Div 1",128,68,41,19
3,0.552,"C Bayou Div 1",128,48,61,19
2,0.552,"C Bayou Div 1",83,13,61,9
1,0.552,"C Bayou Div 1",38,2,32,4
0,0.552,"C Bayou Div 1",7,0,6,1
6,0.544,"C Bayou Div 2",18,18,0,0
5,0.544,"C Bayou Div 2",60,45,9,6
4,0.544,"C Bayou Div 2",84,45,26,13
3,0.544,"C Bayou Div 2",89,31,48,10
2,0.544,"C Bayou Div 2",75,17,45,13
1,0.544,"C Bayou Div 2",33,1,26,6
0,0.544,"C Bayou Div 2",3,0,3,0
6,0.551,"C Cascade Div 1",16,14,0,2
5,0.551,"C Cascade Div 1",81,68,8,5
4,0.551,"C Cascade Div 1",152,76,50,26
3,0.551,"C Cascade Div 1",148,48,76,24
2,0.551,"C Cascade Div 1",99,20,55,24
1,0.551,"C Cascade Div 1",36,3,32,1
0,0.551,"C Cascade Div 1",8,0,8,0
6,0.514,"C Cascade Div 2",12,10,0,2
5,0.514,"C Cascade Div 2",57,49,5,3
4,0.514,"C Cascade Div 2",121,71,34,16
3,0.514,"C Cascade Div 2",123,49,54,20
2,0.514,"C Cascade Div 2",109,27,63,19
1,0.514,"C Cascade Div 2",48,1,43,4
0,0.514,"C Cascade Div 2",8,0,8,0
6,0.592,"C Central",21,19,0,2
5,0.592,"C Central",81,62,9,10
4,0.592,"C Central",201,105,69,27
3,0.592,"C Central",178,51,101,26
2,0.592,"C Central",71,8,51,12
1,0.592,"C Central",18,0,13,5
0,0.592,"C Central",2,0,2,0
6,0.550,"C Coastal",8,8,0,0
5,0.550,"C Coastal",107,84,7,16
4,0.550,"C Coastal",209,120,62,27
3,0.550,"C Coastal",221,78,105,38
2,0.550,"C Coastal",127,15,95,17
1,0.550,"C Coastal",38,3,31,4
0,0.550,"C Coastal",8,0,8,0
6,0.573,"C Continental Div 1",16,16,0,0
5,0.573,"C Continental Div 1",71,58,7,6
4,0.573,"C Continental Div 1",155,89,46,20
3,0.573,"C Continental Div 1",150,39,89,22
2,0.573,"C Continental Div 1",72,14,47,11
1,0.573,"C Continental Div 1",23,0,22,1
0,0.573,"C Continental Div 1",5,0,5,0
6,0.539,"C Continental Div 2",10,10,0,0
5,0.539,"C Continental Div 2",53,44,3,6
4,0.539,"C Continental Div 2",140,79,37,24
3,0.539,"C Continental Div 2",160,57,83,20
2,0.539,"C Continental Div 2",85,16,52,17
1,0.539,"C Continental Div 2",35,2,30,3
0,0.539,"C Continental Div 2",3,0,3,0
6,0.480,"C Corridor Div 1",3,3,0,0
5,0.480,"C Corridor Div 1",36,34,2,0
4,0.480,"C Corridor Div 1",91,51,20,20
3,0.480,"C Corridor Div 1",137,63,53,21
2,0.480,"C Corridor Div 1",117,30,72,15
1,0.480,"C Corridor Div 1",42,6,34,2
0,0.480,"C Corridor Div 1",6,0,6,0
6,0.459,"C Corridor Div 2",3,3,0,0
5,0.459,"C Corridor Div 2",21,19,0,2
4,0.459,"C Corridor Div 2",68,44,16,8
